rate_group,weight_label,weight_from,weight_to,billing_unit,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_us5
export_wxs_document,UPS Envelope,,,flat,696035,753389,775448,832803,1030818,980990,1106597,1207810,1328747,632712,1043793
export_wxs_document,0.5,0.5,0.5,flat,696035,753389,775448,832803,1030818,980990,1106597,1207810,1328747,632712,1043793
export_wxs_document,1,1,1,flat,779601,835658,918185,965677,1258417,1197170,1384285,1476933,1608771,734185,1274248
export_wxs_nondocument,0.5,0.5,0.5,flat,760396,830467,918185,959968,609355,589372,656328,1259196,1398039,749237,617141
export_wxs_nondocument,1,1,1,flat,843962,916888,1060922,1093103,738856,722506,808926,1536624,1715434,833062,748199
export_wxs_nondocument,21-44,21,44,per_kg,112891,141439,204502,210731,153636,150003,155194,485304,499318,130279,150003
export_wxs_nondocument,>1000,1000.0001,,per_kg,96022,123531,171543,173359,153636,150003,155194,450788,454680,101472,150003
export_xpd,1,1,1,flat,641535,751832,891195,918185,625965,643352,702004,1229092,1406604,641535,625965
export_xpd,21-44,21,44,per_kg,85382,115746,172062,176992,148705,140660,146110,388503,409264,100434,141698
export_xpd,>1000,1000.0001,,per_kg,72925,101213,144034,145591,148705,140660,146110,360475,372672,78116,141698
export_wfm,Minimum,,,minimum,8424405,11099839,15411549,15234581,13089824,12780281,13222551,39579093,40286587,8888644,12780281
export_wfm,71-99,71,99,per_kg,118653,156335,217064,214571,184363,180003,186233,557452,567416,125192,180003
export_wfm,>1000,1000.0001,,per_kg,115227,148238,205852,208031,184363,180003,186233,540945,545616,121767,180003
